,Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,0,1,00,GENERAL INDEX (CPI),9999.999999999996,2009-02-01,81.38720989681737,Urban
1,0,1,01,Food and non-alcoholic beverages,2737.905830276656,2009-02-01,76.52967387814563,Urban
2,0,1,01.1.1,Bread and cereals,539.3638606485538,2009-02-01,85.49533849750897,Urban
3,0,1,01.1.2,Meat,197.40035443603645,2009-02-01,86.10215209876291,Urban
4,0,1,01.1.4,"Milk, cheese and eggs",132.06730190968523,2009-02-01,61.97794623059147,Urban
5,0,1,01.1.7,Vegetables,885.603708112186,2009-02-01,72.35247208214895,Urban
6,0,1,01.2,Non-alcoholic beverages,132.12406477416687,2009-02-01,83.69167248234423,Urban
7,0,1,02,Alcoholic beverages and tobacco,485.3264091869946,2009-02-01,76.52815603392197,Urban
8,0,1,03,Clothing and footwear,530.7676668306442,2009-02-01,84.40490667796921,Urban
9,0,1,04,"Housing, water, electricity, gas and other fuels",2075.484272456249,2009-02-01,89.83389633791055,Urban
10,0,1,05,"Furnishing, household equipment and routine household maintenance ",375.48340240274274,2009-02-01,93.20925130089923,Urban
11,0,1,06,Health,132.54444317531355,2009-02-01,87.51749415074454,Urban
12,0,1,07,Transport,1245.1702845755299,2009-02-01,78.0161584042522,Urban
13,0,1,08,Communication,314.3098917023506,2009-02-01,110.58983652369703,Urban
14,0,1,09,Recreation and culture,307.16719129739846,2009-02-01,95.78066892070801,Urban
15,0,1,10,Education,274.8664135596747,2009-02-01,53.188490500069655,Urban
16,0,1,11,Restaurants and hotels,882.054431118825,2009-02-01,85.4578073025513,Urban
17,0,1,12,Miscellaneous goods and services,638.9197634176433,2009-02-01,89.26134372858809,Urban
18,0,1,00,GENERAL INDEX (CPI),9999.999999999996,2009-03-01,82.06822032351884,Urban
19,0,1,01,Food and non-alcoholic beverages,2737.905830276656,2009-03-01,78.05534774884696,Urban
20,0,1,01.1.1,Bread and cereals,539.3638606485538,2009-03-01,86.97121765380963,Urban
21,0,1,01.1.2,Meat,197.40035443603645,2009-03-01,85.43716798182412,Urban
22,0,1,01.1.4,"Milk, cheese and eggs",132.06730190968523,2009-03-01,62.612971368395755,Urban
23,0,1,01.1.7,Vegetables,885.603708112186,2009-03-01,75.53968658066286,Urban
24,0,1,01.2,Non-alcoholic beverages,132.12406477416687,2009-03-01,83.16442549377209,Urban
25,0,1,02,Alcoholic beverages and tobacco,485.3264091869946,2009-03-01,79.36623968023652,Urban
26,0,1,03,Clothing and footwear,530.7676668306442,2009-03-01,84.56563213953439,Urban
27,0,1,04,"Housing, water, electricity, gas and other fuels",2075.484272456249,2009-03-01,90.2147680128108,Urban
28,0,1,05,"Furnishing, household equipment and routine household maintenance ",375.48340240274274,2009-03-01,93.39532695511917,Urban
29,0,1,06,Health,132.54444317531355,2009-03-01,87.78477275511847,Urban
